Survey Year	CPH	Country	County ID	County Name	Easting	Northing	CattlePopulation
2020	0	NA	0	NA	117245	755690	38
2020	0	NA	0	NA	91536	186483	16
2020	0	NA	0	NA	121067	238566	306
2020	0	NA	0	NA	248513	172106	60
2020	0	NA	0	NA	219200	392209	106
2020	0	NA	0	NA	246785	577596	58
2020	0	NA	0	NA	248129	264910	150
2020	0	NA	0	NA	103619	404475	253
2020	0	NA	0	NA	164000	436481	1
2020	0	NA	0	NA	179472	570889	7
2020	0	NA	0	NA	127810	482126	5
2020	0	NA	0	NA	13792	645636	205
2020	0	NA	0	NA	208306	664187	64
2020	0	NA	0	NA	1332	524945	309
2020	0	NA	0	NA	207126	772140	87
2020	0	NA	0	NA	144801	398866	25
2020	0	NA	0	NA	35797	418340	72
2020	0	NA	0	NA	194294	653133	17
2020	0	NA	0	NA	94187	618805	1
2020	0	NA	0	NA	74369	395248	140
2020	0	NA	0	NA	153829	862815	2
2020	0	NA	0	NA	75689	382187	122
2020	0	NA	0	NA	128680	504219	173
2020	0	NA	0	NA	38908	775744	193
2020	0	NA	0	NA	179082	901505	10
2020	0	NA	0	NA	67358	258273	27
2020	0	NA	0	NA	137000	270833	21
2020	0	NA	0	NA	236351	664445	211
2020	0	NA	0	NA	191947	296180	61
2020	0	NA	0	NA	124938	768346	1
2020	0	NA	0	NA	9676	581192	35
2020	0	NA	0	NA	201177	332452	45
2020	0	NA	0	NA	200243	518629	32
2020	0	NA	0	NA	220502	947744	614
2020	0	NA	0	NA	135083	552679	65
2020	0	NA	0	NA	167697	162728	2
2020	0	NA	0	NA	42308	671141	97
2020	0	NA	0	NA	240160	835972	31
2020	0	NA	0	NA	124585	83933	187
2020	0	NA	0	NA	73588	993952	1
2020	0	NA	0	NA	231100	812109	60
2020	0	NA	0	NA	34204	381465	2
2020	0	NA	0	NA	117945	201133	60
2020	0	NA	0	NA	193435	610753	37
2020	0	NA	0	NA	26154	459335	147
2020	0	NA	0	NA	155390	366459	342
2020	0	NA	0	NA	72616	984315	12
2020	0	NA	0	NA	159285	428854	130
2020	0	NA	0	NA	154128	160374	100
2020	0	NA	0	NA	158695	49043	226
2020	0	NA	0	NA	112471	107289	253
2020	0	NA	0	NA	243752	22829	164
2020	0	NA	0	NA	194654	196589	757
2020	0	NA	0	NA	9729	255791	3
2020	0	NA	0	NA	177488	606440	512
2020	0	NA	0	NA	208426	299918	35
2020	0	NA	0	NA	136601	214867	5
2020	0	NA	0	NA	180134	598231	23
2020	0	NA	0	NA	116153	226502	42
2020	0	NA	0	NA	173985	592354	69
2020	0	NA	0	NA	176439	900339	311
2020	0	NA	0	NA	149873	54438	359
2020	0	NA	0	NA	236742	545975	12
2020	0	NA	0	NA	124116	662787	173
2020	0	NA	0	NA	149510	258557	157
2020	0	NA	0	NA	8118	818341	544
2020	0	NA	0	NA	82579	235434	74
2020	0	NA	0	NA	5869	998214	538
2020	0	NA	0	NA	50109	116819	181
2020	0	NA	0	NA	53690	475241	34
2020	0	NA	0	NA	89035	700369	140
2020	0	NA	0	NA	92141	688508	250
2020	0	NA	0	NA	220128	515932	13
2020	0	NA	0	NA	166088	26147	1
2020	0	NA	0	NA	123762	266552	235
2020	0	NA	0	NA	2971	893051	185
2020	0	NA	0	NA	93543	217744	10
2020	0	NA	0	NA	138280	544175	25
2020	0	NA	0	NA	69942	101864	144
2020	0	NA	0	NA	249669	794553	10
2020	0	NA	0	NA	123253	72929	33
2020	0	NA	0	NA	162018	433287	50
2020	0	NA	0	NA	243089	221799	27
2020	0	NA	0	NA	237681	654593	48
2020	0	NA	0	NA	185913	234541	16
2020	0	NA	0	NA	212150	479277	155
2020	0	NA	0	NA	245908	392350	231
2020	0	NA	0	NA	221672	436799	43
2020	0	NA	0	NA	49514	395700	41
2020	0	NA	0	NA	24876	972648	27
2020	0	NA	0	NA	180214	266957	32
2020	0	NA	0	NA	111513	272185	4
2020	0	NA	0	NA	226680	129715	312
2020	0	NA	0	NA	76385	831541	118
2020	0	NA	0	NA	85731	563789	49
2020	0	NA	0	NA	50991	889766	2
2020	0	NA	0	NA	86297	804507	164
2020	0	NA	0	NA	151940	698977	9
2020	0	NA	0	NA	168134	725124	66
2020	0	NA	0	NA	196604	811554	514
2020	0	NA	0	NA	66976	331491	310
2020	0	NA	0	NA	181530	67633	242
2020	0	NA	0	NA	160577	961081	268
2020	0	NA	0	NA	162477	590512	33
2020	0	NA	0	NA	170801	170269	648
2020	0	NA	0	NA	194169	166924	14
2020	0	NA	0	NA	15189	976144	6
2020	0	NA	0	NA	67232	668788	568
2020	0	NA	0	NA	177150	554955	15
2020	0	NA	0	NA	242319	729412	47
2020	0	NA	0	NA	99950	319781	134
